Average_goals_scored_last10,Average_HT_goals_scored_last10,Average_shots_last10,Average_shots_on_target_last10,Average_fouls_last10,Average_corners_last10,Average_yellow_cards_last10,Average_red_cards_last10,Average_goals_conceded_last10,Average_HT_goals_conceded_last10,Average_shots_conceded_last10,Average_shots_on_target_conceded_last10,Average_fouls_conceded_last10,Average_corners_conceded_last10,Average_yellow_cards_conceded_last10,Average_red_cards_conceded_last10,Average_B365Odds_last10,Average_B365Odds_Against_last10,Average_B365DrawOdds_last10,Average_BWOdds_last10,Average_BWOdds_against_last10,Average_BWDrawOdds_last10,Average_WHOdds_last10,Average_WHOdds_Against_last10
1.0,0.4,8.3,3.2,11.0,4.0,2.3,0.0,6.529999999999999,4.985,6.655000000000001,5.05,7.020999999999998,4.95,2.6,1.3,17.7,6.2,10.7,6.0,2.0,0.1,1.831,1.845
1.9,1.1,12.6,4.3,11.3,6.2,1.8,0.1,1.7289999999999999,4.308,1.7260000000000002,4.359999999999999,1.732,4.22,1.0,0.6,9.1,3.0,10.1,2.6,2.9,0.0,6.0600000000000005,5.9799999999999995
1.4,0.6,13.8,5.0,13.0,5.0,2.0,0.1,2.981,4.09,2.928,4.138,3.019,4.065,1.6,0.4,13.5,4.8,11.5,6.5,2.4,0.0,3.311,3.3579999999999997
2.5,0.9,16.5,6.5,11.6,5.7,2.4,0.1,1.702,4.495,1.7129999999999999,4.6530000000000005,1.709,4.516,1.4,0.7,10.8,3.8,10.9,4.9,2.6,0.0,5.85,5.7
1.8,0.7,10.5,4.4,12.0,2.8,1.7,0.1,3.681,3.975,3.7880000000000003,3.943,3.8019999999999996,3.915,1.9,0.9,14.2,4.9,10.9,7.6,2.5,0.0,2.3950000000000005,2.393
1.9,0.9,15.2,4.8,10.1,5.4,1.9,0.0,2.593,4.068,2.594,3.995,2.599,4.01,1.4,0.6,11.8,4.2,12.5,4.5,2.9,0.0,3.6759999999999997,3.7
2.1,0.9,17.2,6.4,13.3,6.7,2.3,0.1,2.1450000000000005,4.353,2.155,4.4,2.1450000000000005,4.363,1.1,0.5,9.1,3.7,13.1,3.5,3.0,0.1,4.637,4.558999999999999
1.9,0.7,16.4,5.7,12.2,6.3,2.2,0.0,3.2329999999999997,3.8,3.2059999999999995,3.8899999999999997,3.2399999999999998,3.8329999999999997,1.1,0.4,13.9,4.5,9.9,6.6,2.4,0.2,2.567,2.502
0.7,0.4,7.8,2.6,11.7,4.5,3.1,0.2,7.100999999999999,5.14,7.18,5.328,7.419999999999999,5.075,2.1,1.3,19.1,6.9,13.5,7.4,1.8,0.0,1.7079999999999997,1.7149999999999999
1.6,0.5,13.7,4.3,9.8,5.1,1.9,0.0,4.002999999999999,3.7700000000000005,3.8699999999999997,3.825,3.988000000000001,3.7699999999999996,1.3,0.5,12.7,4.5,10.1,6.3,2.3,0.1,2.624,2.6100000000000003
1.2,0.7,15.9,5.2,8.6,8.5,1.9,0.1,1.7119999999999997,4.99,1.714,5.173,1.736,4.912999999999999,1.7,0.7,10.2,4.3,10.5,3.0,2.4,0.0,6.545,6.718000000000001
2.4,1.2,13.9,5.2,10.9,7.5,1.9,0.0,2.391,4.49,2.311,4.481,2.348,4.475,1.4,0.7,14.0,4.8,14.5,6.0,2.4,0.2,3.9189999999999996,4.114000000000001
1.6,0.6,12.9,4.8,11.4,3.4,2.0,0.0,2.7779999999999996,4.180000000000001,2.7499999999999996,4.260000000000001,2.795,4.198,1.1,0.4,10.3,3.4,9.5,5.7,1.8,0.0,3.8190000000000004,3.8689999999999998
1.3,0.4,9.4,3.2,11.2,3.9,2.6,0.0,4.585,4.17,4.71,4.110000000000001,4.7909999999999995,4.12,2.2,1.1,18.1,6.0,9.8,6.4,2.3,0.2,1.8980000000000001,1.916
1.6,0.7,12.2,4.6,9.2,5.7,2.1,0.2,4.0200000000000005,4.287999999999999,4.3740000000000006,4.243,4.398999999999999,4.16,1.7,0.4,12.1,4.3,8.8,5.3,1.5,0.3,2.576,2.545
0.9,0.4,12.1,3.7,10.9,4.6,1.7,0.0,4.023000000000001,3.775,4.075000000000001,3.85,4.112,3.783,0.7,0.3,11.7,3.5,9.9,5.3,1.1,0.1,2.3749999999999996,2.35
1.2,0.6,14.2,5.1,10.9,5.1,2.8,0.1,3.8629999999999995,3.79,3.845,3.768,3.938,3.75,1.2,0.4,13.1,4.2,11.0,7.2,1.9,0.1,2.102,2.137
1.5,0.6,15.4,5.6,10.0,6.0,2.4,0.2,3.751,3.975,3.715,3.9699999999999998,3.7739999999999996,3.96,1.9,0.9,17.6,5.3,9.5,7.3,1.4,0.0,2.4979999999999998,2.4810000000000003
1.1,0.8,11.0,3.5,11.7,4.5,2.1,0.2,4.301,4.017999999999999,4.335,4.045,4.478,4.034999999999999,1.8,0.7,16.5,6.5,10.3,7.4,1.0,0.1,2.037,2.045
2.4,1.4,11.5,5.2,9.0,4.8,1.5,0.1,3.344,4.043000000000001,3.346,4.04,3.3529999999999993,3.9899999999999998,2.0,1.2,18.8,6.6,10.0,6.8,1.5,0.2,2.7179999999999995,2.739
1.2,0.7,14.0,4.3,11.5,8.0,2.3,0.1,2.893,4.1049999999999995,2.862,4.105,2.943,4.08,1.6,0.6,12.1,4.3,13.2,3.8,2.5,0.1,3.3739999999999997,3.4170000000000003
1.8,0.9,15.6,5.1,13.8,6.6,2.2,0.0,3.0229999999999997,3.8050000000000006,3.0149999999999997,3.87,3.0589999999999997,3.843000000000001,1.2,0.5,11.5,4.0,10.1,5.1,3.0,0.2,2.7220000000000004,2.689
