match_id,date,home_team,away_team,FTHG,FTAG,FTR,HTHG,HTAG,HTR,referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,WHH,WHD,WHA
4318,2015-12-28 12:00:00,Everton,Stoke,3.0,4.0,3,1.0,2.0,A,M Clattenburg,15.0,8.0,3.0,5.0,10.0,12.0,6.0,2.0,2.0,1.0,0.0,0.0,1.95,3.6,4.2,1.95,3.3,3.9,1.95,3.5,3.8
4319,2015-12-28 12:00:00,Man United,Chelsea,0.0,0.0,2,0.0,0.0,D,M Atkinson,12.0,8.0,2.0,3.0,16.0,6.0,5.0,3.0,4.0,2.0,0.0,0.0,2.6,3.3,3.0,2.6,3.25,2.9,2.62,3.1,3.0
4320,2015-12-28 12:00:00,Norwich,Aston Villa,2.0,0.0,1,1.0,0.0,H,G Scott,9.0,6.0,4.0,3.0,10.0,21.0,3.0,7.0,2.0,5.0,0.0,0.0,2.05,3.6,3.8,2.0,3.3,3.7,2.05,3.4,3.6
4321,2015-12-28 12:00:00,Watford,Tottenham,1.0,2.0,3,1.0,1.0,D,A Taylor,9.0,10.0,1.0,3.0,11.0,13.0,5.0,3.0,4.0,2.0,1.0,0.0,3.75,3.5,2.1,3.5,3.3,2.15,3.5,3.25,2.15
4322,2015-12-28 12:00:00,West Brom,Newcastle,1.0,0.0,1,0.0,0.0,D,M Jones,22.0,7.0,5.0,2.0,7.0,13.0,18.0,6.0,0.0,0.0,0.0,0.0,2.2,3.25,3.75,2.2,3.25,3.2,2.25,3.2,3.3
4323,2015-12-28 12:00:00,West Ham,Southampton,2.0,1.0,1,0.0,1.0,A,M Oliver,13.0,15.0,5.0,4.0,6.0,12.0,4.0,7.0,1.0,3.0,0.0,0.0,3.6,3.4,2.2,3.25,3.3,2.2,3.4,3.2,2.2
4324,2015-12-29 12:00:00,Leicester,Man City,0.0,0.0,2,0.0,0.0,D,C Pawson,11.0,21.0,4.0,5.0,11.0,8.0,1.0,13.0,1.0,3.0,0.0,0.0,4.33,4.0,1.85,4.0,4.0,1.85,3.75,3.75,1.91
4325,2015-12-30 12:00:00,Sunderland,Liverpool,0.0,1.0,3,0.0,0.0,D,K Friend,8.0,17.0,3.0,6.0,8.0,16.0,6.0,4.0,1.0,3.0,0.0,0.0,5.5,3.9,1.7,5.0,3.75,1.72,4.75,3.6,1.75
4326,2016-01-02 12:00:00,Arsenal,Newcastle,1.0,0.0,1,0.0,0.0,D,A Taylor,16.0,15.0,3.0,6.0,10.0,9.0,7.0,4.0,2.0,2.0,0.0,0.0,1.29,6.5,11.0,1.28,5.5,11.0,1.3,5.0,11.0
4327,2016-01-02 12:00:00,Leicester,Bournemouth,0.0,0.0,2,0.0,0.0,D,A Marriner,16.0,9.0,2.0,0.0,9.0,5.0,7.0,1.0,1.0,1.0,0.0,1.0,1.91,3.75,4.33,1.95,3.4,3.8,1.95,3.4,4.0
4328,2016-01-02 12:00:00,Man United,Swansea,2.0,1.0,1,0.0,0.0,D,J Moss,19.0,9.0,6.0,4.0,14.0,10.0,4.0,2.0,2.0,1.0,0.0,0.0,1.55,4.2,7.0,1.55,3.8,7.0,1.57,3.6,7.0
4329,2016-01-02 12:00:00,Norwich,Southampton,1.0,0.0,1,0.0,0.0,D,M Clattenburg,10.0,10.0,1.0,4.0,9.0,7.0,4.0,9.0,1.0,0.0,0.0,1.0,3.2,3.4,2.4,2.9,3.25,2.4,3.1,3.2,2.38
4330,2016-01-02 12:00:00,Sunderland,Aston Villa,3.0,1.0,1,1.0,0.0,H,C Pawson,13.0,8.0,6.0,3.0,8.0,13.0,3.0,3.0,3.0,4.0,0.0,0.0,2.5,3.25,3.2,2.5,3.1,2.9,2.4,3.1,3.1
4331,2016-01-02 12:00:00,Watford,Man City,1.0,2.0,3,0.0,0.0,D,M Atkinson,11.0,16.0,3.0,5.0,6.0,10.0,4.0,5.0,1.0,0.0,0.0,0.0,5.0,4.0,1.75,4.75,3.75,1.75,5.0,3.6,1.73
4332,2016-01-02 12:00:00,West Brom,Stoke,2.0,1.0,1,0.0,0.0,D,L Mason,16.0,10.0,5.0,3.0,7.0,15.0,4.0,6.0,1.0,1.0,0.0,1.0,2.8,3.2,2.8,2.8,3.1,2.7,2.8,3.1,2.62
4333,2016-01-02 12:00:00,West Ham,Liverpool,2.0,0.0,1,1.0,0.0,H,R Madley,18.0,23.0,10.0,2.0,11.0,8.0,3.0,9.0,1.0,1.0,0.0,0.0,4.0,3.5,2.05,3.8,3.4,2.05,3.8,3.4,2.0
4334,2016-01-03 12:00:00,Crystal Palace,Chelsea,0.0,3.0,3,0.0,1.0,A,K Friend,8.0,10.0,4.0,4.0,12.0,15.0,5.0,7.0,3.0,0.0,0.0,0.0,3.8,3.5,2.1,3.8,3.2,2.1,3.75,3.2,2.1
4335,2016-01-03 12:00:00,Everton,Tottenham,1.0,1.0,2,1.0,1.0,D,M Oliver,12.0,19.0,3.0,4.0,8.0,11.0,4.0,4.0,1.0,2.0,0.0,0.0,2.8,3.5,2.63,2.7,3.4,2.6,2.7,3.1,2.7
4336,2016-01-12 12:00:00,Aston Villa,Crystal Palace,1.0,0.0,1,0.0,0.0,D,M Clattenburg,13.0,9.0,3.0,1.0,15.0,9.0,9.0,0.0,2.0,1.0,0.0,0.0,3.2,3.25,2.45,3.0,3.2,2.45,3.1,3.0,2.5
4337,2016-01-12 12:00:00,Bournemouth,West Ham,1.0,3.0,3,1.0,0.0,H,M Atkinson,11.0,10.0,4.0,5.0,8.0,5.0,4.0,7.0,1.0,1.0,0.0,0.0,2.0,3.6,4.0,2.0,3.4,3.9,2.0,3.4,3.8
4338,2016-01-12 12:00:00,Newcastle,Man United,3.0,3.0,2,1.0,2.0,A,M Dean,14.0,12.0,6.0,4.0,10.0,12.0,5.0,3.0,1.0,3.0,0.0,0.0,5.0,3.7,1.8,5.0,3.6,1.75,5.0,3.3,1.8
4339,2016-01-13 12:00:00,Chelsea,West Brom,2.0,2.0,2,1.0,1.0,D,A Taylor,14.0,13.0,2.0,6.0,13.0,8.0,7.0,7.0,3.0,3.0,0.0,0.0,1.44,4.5,9.0,1.44,4.4,8.5,1.44,4.2,8.0
4340,2016-01-13 12:00:00,Liverpool,Arsenal,3.0,3.0,2,2.0,2.0,D,M Jones,22.0,14.0,6.0,5.0,9.0,7.0,9.0,3.0,2.0,0.0,0.0,0.0,2.88,3.4,2.6,2.9,3.25,2.6,2.9,3.2,2.5
4341,2016-01-13 12:00:00,Man City,Everton,0.0,0.0,2,0.0,0.0,D,R East,22.0,7.0,5.0,2.0,5.0,6.0,12.0,5.0,0.0,1.0,0.0,0.0,1.53,4.75,6.0,1.53,4.75,5.75,1.53,4.0,6.5
4342,2016-01-13 12:00:00,Southampton,Watford,2.0,0.0,1,1.0,0.0,H,C Pawson,15.0,4.0,7.0,1.0,9.0,11.0,8.0,1.0,1.0,2.0,0.0,0.0,1.95,3.5,4.33,2.0,3.4,4.1,2.0,3.2,4.0
4343,2016-01-13 12:00:00,Stoke,Norwich,3.0,1.0,1,0.0,0.0,D,N Swarbrick,14.0,5.0,4.0,2.0,5.0,8.0,7.0,3.0,0.0,1.0,0.0,1.0,2.05,3.3,4.2,2.05,3.4,3.8,2.05,3.1,4.0
4344,2016-01-13 12:00:00,Swansea,Sunderland,2.0,4.0,3,2.0,1.0,H,G Scott,10.0,7.0,5.0,5.0,9.0,12.0,8.0,6.0,2.0,0.0,1.0,0.0,1.8,3.6,5.25,1.78,3.7,4.6,1.8,3.4,4.8
4345,2016-01-13 12:00:00,Tottenham,Leicester,0.0,1.0,3,0.0,0.0,D,L Mason,21.0,10.0,5.0,2.0,13.0,10.0,16.0,8.0,1.0,0.0,0.0,0.0,1.75,3.8,5.25,1.75,3.8,4.6,1.8,3.5,4.5
4346,2016-01-16 12:00:00,Aston Villa,Leicester,1.0,1.0,2,0.0,1.0,A,R East,14.0,12.0,5.0,5.0,13.0,15.0,3.0,4.0,3.0,2.0,0.0,0.0,3.6,3.4,2.2,3.5,3.3,2.15,3.4,3.1,2.25
4347,2016-01-16 12:00:00,Bournemouth,Norwich,3.0,0.0,1,1.0,0.0,H,R Madley,15.0,10.0,8.0,3.0,8.0,13.0,5.0,3.0,1.0,1.0,0.0,0.0,1.91,3.6,4.5,1.9,3.5,4.25,1.95,3.1,4.33
